BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,target
14.70028823,14.56571433,0.741309971,5.694935471,4.029509385,0
14.70021668,14.56571033,0.740804013,5.655503083,4.02951083,0
14.70028825,14.5657123,0.741309283,5.655503083,4.029511697,0
14.70021668,14.56571033,0.740804013,5.655503083,4.02951083,0
14.7002883,14.56570782,0.741323207,5.694935588,4.029485493,0
14.69641075,14.56899551,0.760358069,5.755660574,4.027555462,1
14.70213971,14.69240389,0.761020161,5.705333057,4.044004414,1
14.70213938,14.69240467,0.761011263,5.705332875,4.048608177,1
14.7021394,14.69240466,0.76102001,5.705332871,4.044009674,1
14.70213909,14.69240543,0.761018466,5.705332708,4.044010936,1
14.70213662,14.69242454,0.760664778,5.705332895,4.048608177,1
13.30278168,17.43070518,0.526975105,5.705332828,4.044146456,1
14.70213909,14.69240544,0.761018971,5.705332618,4.044029881,1
14.70213907,14.69240544,0.761011162,5.705332715,4.048621393,1
13.3041168,17.4247745,0.545847742,5.694336505,4.025133413,1
13.30411668,17.42477467,0.545847162,5.69433648,4.025129406,1
14.70680988,14.57044881,0.77927311,5.673664185,3.240169279,1
14.70681018,14.57046205,0.779274212,5.673664214,3.240154932,1
14.70681006,14.5706931,0.779273941,5.6736642,3.240265481,1
14.70588815,14.57045842,0.778685908,5.673664182,3.240180022,1
14.70588815,14.57045524,0.778685909,5.673664066,3.240190123,1
14.70680973,14.57044748,0.779272587,5.673664088,3.240174279,1
14.70681003,14.57046072,0.779273687,5.673664118,3.240159903,1
14.70680991,14.57069185,0.779273417,5.673664103,3.240270671,1
14.70588815,14.5704571,0.778685908,5.673664085,3.240185044,1
14.69995361,14.54320893,0.740314318,5.694099047,4.048622303,1
14.69995362,14.54320824,0.740315005,5.694099063,4.048621266,1
14.70189095,14.55678411,0.751692759,5.76531352,4.032545746,1
14.70189688,14.55676567,0.751725199,5.785254689,4.032450248,1
14.70228453,14.69309218,0.751479343,5.822883908,3.190984774,0
14.70224237,14.54843015,0.774928538,5.673660484,4.034246942,1
13.30412123,17.42476852,0.546065694,5.774079954,3.21620475,0
14.70714934,13.62689904,0.784260379,5.691989342,3.181401435,1
14.70177216,14.56925695,0.750580728,5.693026981,3.172934704,1
14.70177584,14.55774531,0.744089844,5.754787874,4.112371242,0
14.70125915,14.56545978,0.74856455,5.758910482,4.037765586,1
14.70048677,14.55678038,0.741139289,5.74955601,3.188120645,1
14.70068206,14.55675788,0.741519012,5.785101388,3.177136154,1
14.7058821,14.56366158,0.777663165,5.762681949,3.272107892,0
14.70031438,14.69311595,0.751195604,5.822960167,4.037997186,1
14.70270526,14.54444696,0.750972345,5.69485959,4.019998916,1
14.70681228,14.56835578,0.779277622,5.673664149,3.240111214,0
15.58916239,14.54846482,1.023536377,5.673656891,3.240203142,0
14.70165694,14.54787233,0.746440121,5.764934958,4.029976166,1
14.70165851,14.55273349,0.746611999,5.764934562,3.215002899,1
14.70175269,14.55898642,0.746100189,5.752491243,3.224722412,0
14.70175266,14.55898568,0.74606089,5.750848474,3.217652242,0
14.70238156,14.55881056,0.746177109,5.774082421,3.208914084,0
14.6997378,13.65342956,0.73910088,5.680884481,3.280468061,1
14.70177584,14.55774182,0.744078689,5.748817488,3.218708034,1
14.70226651,13.63740404,0.75274195,5.687698583,3.18268735,0
14.70177592,14.5496673,0.750984919,5.674015086,4.017094619,1
14.70177592,14.54967766,0.750984896,5.67401502,4.017102118,1
14.70177592,14.5496743,0.750984904,5.674015031,4.017100694,1
15.58913303,14.54852345,1.023538597,5.673656986,3.240120149,1
14.69970924,14.63884694,0.739111194,5.685688361,4.023588337,0
14.70062279,14.54078308,0.741476288,5.731048463,3.162377992,1
14.70234648,14.55659199,0.748736495,5.719131642,3.275623129,1
14.69652521,14.55035191,0.74864716,5.684867842,4.019983583,1
14.69648874,14.5503538,0.748642705,5.684867837,4.025772931,1
14.69652507,14.55035298,0.74864677,5.684867742,4.031740998,1
14.69652516,14.55035302,0.748647035,5.684867841,4.025772931,1
14.69648872,14.55035433,0.748642781,5.684867803,4.02624627,1
14.70365431,14.56431313,0.774495909,5.761462029,4.027571452,0
14.70223321,14.56540733,0.748721778,5.758957471,3.269506679,1
14.70177592,14.54573577,0.750988141,5.654024164,4.017095461,1
14.70365431,14.56431313,0.774495909,5.761462029,4.027571452,0
14.70223321,14.56540733,0.748721778,5.758957471,3.269506679,1
14.7010632,14.55310722,0.751694278,5.692080511,4.038029441,1
14.7010632,14.55303262,0.75169425,5.692080514,4.038029244,0
14.70048742,14.55677869,0.741146034,5.749558624,3.1878037,1
14.70107466,14.56204752,0.751924194,5.67399278,4.043970637,1
14.70043293,14.55055343,0.740381845,5.694041476,3.161051923,1
14.70165851,14.55207317,0.746612687,5.777778021,4.02206444,1
