MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,target
1.911485824,735,0.430071929,1.828182885,10.90292493,2,9.184952232,0.637118159,0.724942615,0.711873657,5.343551485,2.598833288,0.546862756,1.578815717,6.455440722,35.98524064,1.079960342,3.402064397,0.672710647,10.07780132,4025,1.195097339,3,1.70190909,147.4314127,40.82509838,0.727676097,2.397895273,217.2069882,0.375496409,1,4.727387819,1256.28,16,0.681394845,0.133268974,5.590415918,0.573804743,1,2.208021656,1
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,2,9.184952232,0.643755045,0.729271341,0.727721931,5.343551485,2.598833288,0.52067592,1.593169613,6.334605023,30.29785437,1.058948695,3.402064397,0.674486432,10.07780132,4157,1.195097328,3,2.032372053,147.0468425,40.82509838,0.718686658,2.010426078,210.4036422,0.363685124,0,3.689805535,1339.726,16,0.683200244,0.201926376,5.6254749,0.589351936,0,2.208037045,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1,17.96578233,0.630287078,0.672907978,0.675009237,5.343551485,2.598833288,0.535852724,1.544421349,6.448353403,36.84261077,1.07969459,3.402064397,0.663244201,18.85863142,4148,1.180334978,3,1.435705386,147.2174042,47.88349668,0.691985838,2.397895273,210.0391481,0.425120338,1,4.727387819,1238.781,16,0.67203687,0.145493455,5.540300878,0.581112263,1,2.208022173,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1,13.57536728,0.644063298,0.757051052,0.726842126,5.343551485,2.598833288,0.544521516,1.558561972,6.458178061,44.17637126,1.05779922,3.402064397,0.66998142,14.46821637,4012,1.195097332,3,1.726214646,147.0689969,35.58267161,0.703049545,2.010426078,214.5480864,0.300949804,0,3.689805535,1255.811,16,0.678676516,0.181316241,5.32218016,0.658585354,0,2.208080488,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1,9.184952232,0.632672656,0.591767324,0.756013814,5.343551485,2.598833288,0.498091202,1.614074675,6.207392377,43.5116183,1.055452611,3.402064397,0.67573867,10.07780132,4186,1.142100684,3,2.064756312,146.3672032,23.43656112,0.704190498,2.010426078,212.3387331,0.317967274,0,3.689805535,1361.061,16,0.684459172,0.224010284,5.41098738,0.637171141,0,2.208026748,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1,17.60274922,0.588384374,0.71846422,0.658253227,5.343551485,2.598833288,0.594389149,1.549067647,6.500787958,41.73809425,1.073234207,3.402064397,0.777354232,10.07780132,4042,0.296672759,3,1.192649831,145.2836639,52.90291494,0.719195958,2.397895273,214.110779,0.441567964,1,4.727387819,1209.339,16,0.778489982,0.132914225,5.54938269,0.564404672,1,2.954433193,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1,13.57536728,0.648689886,0.750617031,0.689623466,5.343551485,2.598833288,0.537725584,1.531338079,6.584685946,30.96260733,1.06286856,3.402064397,0.662362838,14.46821637,3882,1.195097336,3,1.222742423,146.5005253,60.20494121,0.698580882,2.397895273,216.4005153,0.380473671,1,4.59511985,1212.811,16,0.671402617,0.124596802,5.524776208,0.621881288,1,2.208085229,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1,9.184952232,0.647672341,0.69089021,0.732576273,5.343551485,2.598833288,0.511521734,1.614677348,6.321390306,30.29785437,1.111495345,3.402064397,0.685006366,10.07780132,4148,0.62503996,3,2.168344275,145.4056195,29.35446716,0.704774615,2.010426078,213.0604616,0.353795554,0,3.689805535,1223.821,16,0.693929037,0.168104871,5.625955148,0.615385144,0,2.916242577,1
1.911485824,675.8888889,0.456563082,1.828182885,10.90292493,1,9.184952232,0.623064353,0.726190668,0.772440575,5.343551485,2.598833288,0.491792472,1.597227765,6.303177358,36.40182075,1.069369636,3.402064397,0.661577699,10.07780132,3996,1.195097326,3,2.039594275,146.4427204,35.45843355,0.723568906,2.010426078,203.0385463,0.34170723,0,3.689805535,1289.792,16,0.671160062,0.166830585,5.612726269,0.605570815,0,2.208027451,1
1.911485824,699,0.457394109,1.828182885,22.16030442,0,9.184952232,0.622603277,0.699906757,0.723864702,4.302857876,4.302857876,0.451980971,1.593551118,6.428323596,35.99178236,1.152898301,3.402064397,0.661705219,4.390415048,3754,1.195097347,4,0.861194607,144.6865799,34.91791865,0.674790361,2.010426078,226.280955,0.357744932,0,3.689805535,1160.877,22,0.670981612,0.15786263,5.595094713,0.600383419,0,2.208071582,1
1.911485824,635.6666667,0.461099759,1.828182885,21.47400012,0,14.16893075,0.624786368,0.690236472,0.732257081,4.258876394,4.258876394,0.519983292,1.594928529,6.471042012,30.29785437,1.160797082,3.402064397,0.673809617,4.390415048,3669,0.610180863,4,0.861194607,144.3809484,34.91791865,0.687678202,2.397895273,231.1113098,0.356987946,1,4.442651256,1104.509,21,0.683088351,0.125449919,5.584755632,0.603905378,1,2.93629661,1
1.911485824,724,0.474170878,1.828182885,10.90292493,1,9.184952232,0.629998844,0.691239434,0.78269474,5.343551485,2.598833288,0.532759081,1.520324675,6.360960748,49.11266911,0.936965617,3.402064397,0.678684676,10.07780132,4399,1.148423313,3,2.055880573,146.820245,23.43656112,0.712467415,2.010426078,216.9137123,0.279538829,0,3.689805535,1372.111,16,0.687254037,0.206181347,5.410318317,0.622653724,0,2.20802646,1
1.911485824,684,0.459835321,1.828182885,10.90292493,1,9.184952232,0.638746617,0.581278763,0.711115655,5.343551485,2.598833288,0.491321292,1.586850782,6.304775943,30.29785437,1.060976431,3.402064397,0.667968234,10.07780132,4056,1.142100713,3,1.56128409,145.8029826,34.90719234,0.699722314,2.397895273,214.0402195,0.40495757,1,4.59511985,1318.061,16,0.677025306,0.17104888,5.600261611,0.612265761,1,2.208031465,1
1.911485824,784,0.481595844,1.828182885,10.90292493,1,13.57536728,0.64507341,0.599555444,0.685310027,5.343551485,2.598833288,0.523967536,1.540597338,6.420895755,30.96260733,1.048922239,3.402064397,0.664345726,14.46821637,4152,1.1421007,3,1.223321127,146.4095094,54.28703516,0.68762947,2.397895273,217.6633526,0.395988828,1,4.59511985,1338.391,16,0.673290886,0.167248406,5.549914389,0.654002651,1,2.208095116,1
1.911485824,782,0.508242427,1.828182885,10.90292493,1,13.57536728,0.640288107,0.610178997,0.722697891,5.343551485,2.598833288,0.530589214,1.567821231,6.317784305,44.17637126,1.044446894,3.402064397,0.671742876,14.46821637,4282,1.142100671,3,1.726793349,146.9571128,29.66476557,0.692099784,2.010426078,215.8780943,0.318761141,0,3.689805535,1381.391,16,0.680344502,0.220318396,5.328409905,0.685505446,0,2.208090336,1
1.911485824,731,0.449638239,1.828182885,22.29078092,0,9.184952232,0.627773885,0.702139048,0.7223886,8.010808344,3.853783802,0.559928282,1.577184804,6.521216092,30.29785437,1.105541658,3.402064397,0.669133921,4.390415048,3753,1.195097347,4,0.861194607,146.626714,40.74232315,0.679872879,2.397895273,228.2047058,0.418261299,1,4.59511985,1147.028,21,0.677784451,0.137321076,5.571082368,0.593023506,1,2.208041859,1
