MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,target
3.095026219,979,0.418530499,2.779586463,6.514573265,1,14.57305289,0.658319491,0.613813141,0.799446015,1
3.264467829,964,0.379848674,2.986947574,6.514573265,2,14.57305289,0.669704987,0.421730661,0.780913355,0
3.164059666,978,0.390822741,2.834169796,6.514573265,1,14.57305289,0.669744012,0.472849807,0.786554084,1
3.132948555,950,0.375141821,2.799169796,6.514573265,1,14.57305289,0.650952147,0.522539614,0.807178639,1
3.264680414,944.6666667,0.364792628,2.968861154,6.514573265,2,14.57305289,0.665884179,0.452220984,0.747688569,1
3.075065984,954.6666667,0.370658771,3.008938315,6.514573265,2,14.57305289,0.665884179,0.464061396,0.747688569,1
3.050170777,951,0.410201542,2.657919796,6.514573265,1,14.57305289,0.647396918,0.505645151,0.809115601,1
3.251724774,1084,0.368615551,2.966734989,6.514573265,1,19.55703141,0.67129359,0.417309591,0.782025732,0
3.00689239,787,0.349299297,3.00689239,6.514573265,3,14.57305289,0.672781585,0.450949808,0.736794869,0
3.254919218,976,0.372084359,2.976335329,6.514573265,1,14.57305289,0.657071444,0.546119133,0.803045594,0
2.568339052,874,0.355118039,2.568339052,33.64166196,3,14.76249423,0.678566489,0.766737796,0.780200878,1
2.691662433,880,0.341815084,2.691662433,33.64166196,2,19.55703141,0.672072786,0.640605868,0.780139623,1
1.911485824,197,0.35862772,1.828182885,6.514573265,0,9.740498951,0.510041021,0.625981268,1.050503713,0
1.911485824,176,0.370302905,1.828182885,6.514573265,0,9.740498951,0.529645444,0.636622287,1.042263194,0
1.911485824,570,0.366367315,1.828182885,6.514573265,0,9.740498951,0.62289545,0.670755725,0.878123687,1
3.762228836,132,0.538798156,3.762228836,6.514573265,0,9.740498951,0.63188898,0.473871669,0.996037366,0
3.332728175,194.4444444,0.38006779,3.332728175,10.90292493,1,9.740498951,0.592246149,0.734766327,0.895729529,1
3.840882464,284.1111111,0.433577183,3.840882464,10.90292493,2,9.740498951,0.707064158,0.832162552,0.887227773,1
3.86337711,269.1111111,0.444098248,3.86337711,10.90292493,2,9.740498951,0.722255607,0.837669326,0.891735955,1
3.442109788,72.55555556,0.433822774,3.442109788,10.90292493,0,9.740498951,0.593678951,0.792953466,0.910531268,0
3.448082607,161.5555556,0.392779847,3.002691936,10.90292493,1,9.740498951,0.690557548,0.807160689,0.772159983,1
3.559164857,121.5555556,0.456944625,3.534630992,10.90292493,1,9.740498951,0.742961151,0.818433994,0.915179553,1
3.57032803,119.5555556,0.461892774,3.544148921,10.90292493,1,9.740498951,0.752142583,0.820990162,0.916327713,1
3.561174358,167.5555556,0.446162651,3.561174358,10.90292493,2,9.740498951,0.731927677,0.81199387,0.881928521,1
3.56390602,153.5555556,0.44336625,3.56390602,10.90292493,2,9.740498951,0.741995706,0.815379481,0.883445643,1
3.566632913,142.5555556,0.448273136,3.566632913,10.90292493,2,9.740498951,0.750748382,0.81842103,0.885227764,1
3.5693071,135.5555556,0.45246293,3.5693071,10.90292493,2,9.740498951,0.75839359,0.821168045,0.887227773,1
3.885737906,344.1111111,0.481660966,3.885737906,10.90292493,2,9.740498951,0.547350195,0.770678574,0.89674042,1
2.744068405,95,0.365944147,2.744068405,6.514573265,0,4.794537184,0.587820476,0.696996201,0.857741945,1
1.911485824,304,0.544588066,1.828182885,6.514573265,0,9.740498951,0.573483253,0.610046337,0.906743163,0
1.911485824,62.77777778,0.432897396,1.828182885,6.514573265,0,4.794537184,0.531283778,0.686830204,1.027485697,0
