ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,VE1_A,VE3_A,VR3_A,nAromAtom,nAromBond,target
41.54721176,31.50855072,69.71141321,69.71141321,4.893248078,5.480001386,3.387504308,8.999838582,22,22,0
39.64467102,30.81698629,65.58549843,65.58549843,4.846584155,5.237917181,3.30458256,8.976536827,22,22,1
40.60975407,31.59896387,66.16055855,66.16055855,4.867613782,5.346694687,3.344185375,8.966883341,22,22,1
39.64467102,30.81698629,65.58549843,65.58549843,4.846584155,5.237917181,3.30458256,8.976536827,22,22,0
38.23045746,29.97966545,62.99706735,62.99706735,4.810115982,5.284870981,3.274286119,8.842636619,22,22,1
38.23045746,29.97966545,62.99706735,62.99706735,4.810115982,5.284870981,3.274286119,8.842636619,22,22,1
34.29780447,27.17050073,58.04294711,58.04294711,4.706867529,5.75315424,3.253825665,7.784911856,22,22,1
35.18325073,28.00226586,58.7942665,58.7942665,4.729138218,5.471552812,3.225618758,8.129808057,22,22,1
37.15474116,29.44362088,62.21027925,62.21027925,4.794785449,4.261964479,3.018346117,10.29858725,22,22,1
35.99974731,28.49038126,59.68264899,59.68264899,4.750947903,5.510046119,3.254135502,8.303493112,22,22,1
40.1329982,31.2787029,66.85390414,66.85390414,4.859107063,5.612617733,3.373675855,8.905938327,27,27,1
38.01167786,29.69702891,63.76863824,63.76863824,4.808458701,5.174665716,3.253212654,8.887662089,22,22,0
40.1329982,31.2787029,66.85390414,66.85390414,4.859107063,5.612617733,3.373675855,8.905938327,27,27,0
28.99762919,24.50942623,48.08751358,48.08751358,4.54573005,4.658807613,2.899736092,8.807197638,10,10,0
38.56895472,30.13190103,64.66035098,64.66035098,4.833609065,4.301580715,3.068420476,10.721086,22,22,1
38.93756424,30.41566351,64.50517947,64.50517947,4.828515402,5.252244851,3.287896116,8.90425272,22,22,0
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,5.132960699,3.224917832,8.847539676,22,22,1
37.30457108,29.21355833,62.2948246,62.2948246,4.789681083,5.132960699,3.224917832,8.847539676,22,22,1
38.21852691,30.44571227,63.42774612,63.42774612,4.812095946,5.959609059,3.394442797,8.126031277,22,22,1
38.21852691,30.4639561,63.42411989,63.42411989,4.812097901,5.480809221,3.310690671,8.680035316,22,22,1
36.5974643,28.65904912,61.2463567,61.2463567,4.770542204,5.04460168,3.186934615,8.83350609,22,22,1
40.94949478,31.81105784,67.76186168,67.76186168,4.878283958,5.697750744,3.407778311,8.998033049,27,27,0
37.40203033,29.44276426,62.52726762,62.52726762,4.791622286,5.286379029,3.254368723,8.948716016,22,22,0
38.71878464,30.1328208,64.87196917,64.87196917,4.826890184,5.196439791,3.277214275,8.94948243,22,22,0
43.04535136,31.19947317,72.82478549,72.82478549,4.942252989,5.654526799,3.43720452,9.053104594,28,28,1
