MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,target
1.911485824,731,0.449638239,1.828182885,22.29078092,0,9.184952232,0.627773885,0.702139048,0.7223886,8.010808344,3.853783802,0.559928282,1.577184804,6.521216092,30.29785437,1.105541658,3.402064397,0.669133921,4.390415048,1
3.54166336,194.6666667,0.429809598,3.54166336,10.90292493,1,9.740498951,0.639131853,0.710599331,0.811693865,4.406399324,4.406399324,0.321379533,0.659301291,5.907869048,5.516700718,0.93434209,3.54166336,0.687687024,11.37477255,1
3.240587444,916.6666667,0.384885504,2.957688315,6.514573265,1,14.57305289,0.663202834,0.467636302,0.759932255,8.681318057,4.038492312,0.480248001,0.659301291,6.057806545,27.63399456,1.066953114,9.249248772,0.725315164,9.589074368,1
3.050170777,1030.666667,0.374952412,2.751204495,6.514573265,1,14.57305289,0.661664195,0.451500928,0.726059853,8.614434397,3.996434699,0.506197745,0.659301291,6.169237453,33.67583539,1.133733717,8.685349727,0.720628338,9.589074368,1
3.285442886,944.6666667,0.393491772,3.067436963,6.514573265,1,14.57305289,0.673128582,0.573886603,0.752235675,8.801685919,4.048860174,0.463775181,0.659301291,6.078366784,27.63399456,1.040283454,9.43223483,0.728240701,9.589074368,1
3.193022251,674.6666667,0.388096272,2.935931496,6.514573265,1,14.57305289,0.664181197,0.53904025,0.766623413,8.644998792,4.021581326,0.522404998,0.659301291,6.064717871,27.63399456,1.072795207,9.158169943,0.726450228,9.589074368,1
3.218830625,726.3333333,0.388096272,2.945319726,6.514573265,1,14.57305289,0.664181197,0.53904025,0.766623413,8.641741868,4.012088467,0.522365649,0.659301291,6.064717871,27.63399456,1.031609125,9.167558172,0.726450228,9.589074368,1
3.050170777,951,0.410201542,2.657919796,6.514573265,1,14.57305289,0.647396918,0.505645151,0.809115601,8.596713504,4.018220321,0.526118328,0.659301291,6.146258964,34.24087653,1.168664516,8.712005974,0.714966341,9.589074368,0
3.188504111,930,0.371300011,2.879169796,6.514573265,1,14.57305289,0.650338124,0.530717194,0.805695812,8.656386977,4.032338239,0.515684211,0.659301291,6.0993,27.63399456,1.093691417,9.104192613,0.717637448,9.589074368,0
3.303780314,1118,0.381523087,3.039916678,6.514573265,2,14.57305289,0.679495835,0.488437226,0.794286581,8.742295043,4.055578162,0.514568242,0.659301291,6.027807616,40.84775849,1.258837765,9.417365791,0.732318349,9.589074368,0
3.18467758,1066,0.368334317,2.732902004,6.514573265,1,14.57305289,0.667745609,0.503160591,0.755868757,8.662568216,4.033333527,0.52330966,0.659301291,6.107377818,27.63399456,1.151918681,11.82929867,0.71906767,9.589074368,1
3.129671202,1126.666667,0.371367347,2.420402004,6.514573265,1,27.71294474,0.589243916,0.491857501,0.675316873,8.632223268,4.024568009,0.584612682,0.659301291,6.128220863,33.88976375,1.185173941,11.36937001,0.798016046,9.589074368,1
3.18467758,1066,0.368334317,2.732902004,6.514573265,1,14.57305289,0.667745609,0.503160591,0.755868757,8.662568216,4.033333527,0.52330966,0.659301291,6.107377818,27.63399456,1.151918681,11.82929867,0.71906767,9.589074368,0
3.001281888,1044,0.385252541,2.60875313,6.514573265,1,14.57305289,0.654652294,0.484237843,0.775113438,8.572917077,4.010925951,0.539045782,0.659301291,6.165227626,34.05481619,1.074310406,8.591168049,0.710813077,9.589074368,1
3.056837444,1024,0.383412577,2.68875313,6.514573265,1,14.57305289,0.652545462,0.476993542,0.769126358,8.599837492,4.017846367,0.539045782,0.659301291,6.140913462,34.05481619,1.095203599,8.74325253,0.712723165,9.589074368,1
3.032987752,877,0.398002745,2.629140113,6.514573265,1,9.589074368,0.654825425,0.465560667,0.816774597,8.029927114,4.010511383,0.559695524,0.659301291,6.192637946,29.04986411,1.055353114,8.65731148,0.711712763,9.589074368,1
3.220667793,880.6666667,0.378895545,2.920310748,6.514573265,1,14.57305289,0.667808509,0.458736543,0.763427253,8.279819436,4.03051221,0.510105433,0.659301291,6.085727016,28.13691014,0.959106128,9.182452574,0.723863265,9.589074368,1
