BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,BCUTm-1l,SMR_VSA3,BCUTc-1l,BCUTdv-1h,TopoPSA(NO),PEOE_VSA1,MDEC-33,SMR_VSA7,BCUTd-1l,SM1_Dzm,BCUTdv-1l,Xc-5dv,Xch-6dv,SM1_Dzpe,Xc-5d,BCUTZ-1h,Xch-7d,BCUTp-1h,PEOE_VSA10,SMR_VSA1,TopoPSA(NO),EState_VSA1,BCUTi-1l,EState_VSA2,SlogP_VSA2,EState_VSA1,BCUTpe-1h,BCUTare-1h,SM1_Dzpe,VE3_Dt,PEOE_VSA8,SM1_Dzare,MID_N,SM1_DzZ,BCUTse-1h,VR3_Dt,SM1_Dzse,SM1_Dzi,Xch-6d,MID_O,GGI6,MDEO-11,SMR_VSA5,ETA_eta_BR,SlogP_VSA3,VR1_Dt,SpDiam_A,BCUTc-1h,Xc-3d,SM1_Dzv,target
13.30411656,17.42477478,0.545838548,5.666628813,3.296839677,2.162281039,1.195097339,2.406730007,2.211106797,35.98524064,11.68059811,9.576012172,0.369640406,7.004072403,112.31,19.51701739,21.24587678,68.21584805,0.972431023,0.943983164,0.270625923,0.380694437,0.153216512,0.175393534,1.194299741,17.00110448,0.772980093,2.208021656,17.13018417,28.92940716,112.31,28.82060884,10.9298338,40.82509838,58.97465987,28.82060884,3.988696296,4.107738153,0.175393534,3.146542522,44.08350649,0.138418187,6.602020308,0.884804565,4.009993588,6.91428068,2.435041953,2.199917978,0.404477678,10.62833525,1.963310658,1.384212391,32.73095847,1.282541597,11.21535881,264.8807206,5.049771727,0.493581894,3.198584704,0.942962172,1
13.30411629,17.42477512,0.545837262,5.666627899,3.29674658,2.162279998,1.195097328,2.406729003,2.211105814,30.29785437,11.68059743,9.467009379,0.369636659,7.004072843,112.31,29.31683685,20.52760882,68.21584805,0.97152838,0.943983164,0.270625501,0.375812704,0.107804097,0.175393534,1.161608176,17.00110467,0.583301562,2.208037045,17.13018417,28.92940716,112.31,28.82060884,10.92983331,40.82509838,71.45225432,28.82060884,3.988698328,4.107739884,0.175393534,3.22345214,62.86040558,0.138418187,6.69230767,0.884804565,4.009996068,7.039505006,2.435041953,2.199917978,0.239805366,10.58269022,1.927346939,1.310611269,33.23387405,1.299378349,11.21535881,285.2056915,5.049074726,0.493607302,3.301016257,0.942962172,1
13.30237987,17.42835166,0.536180591,5.666628129,4.018052063,2.16228017,1.180334978,2.406729154,2.211105969,36.84261077,11.68059772,4.567099648,0.36963924,7.009525523,92,24.41692712,20.16695626,68.21584805,0.972487556,0.945220365,0.270627002,0.330169158,0.157093998,0.189832456,0.994941509,17.00110452,0.790323053,2.208022173,17.13018417,32.91570007,92,41.28789442,10.9298336,47.88349668,53.47818121,41.28789442,3.998330517,4.116533923,0.189832456,3.146834327,42.72322078,0.152315633,4.484282923,0.8868184,4.020728291,6.913541559,2.67328416,2.508940593,0.419521743,8.873228167,2.000907029,1.27275233,38.65348764,1.39680202,6.420821623,264.685014,5.049364938,0.493653681,4.008123038,0.937562098,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,2.162280192,1.195097333,2.406729179,2.211105991,30.29785437,11.68059773,4.567099648,0.369640572,7.004755535,92,24.41692712,21.24587678,68.21584805,0.972521386,0.943896884,0.270627018,0.330169158,0.137950922,0.17246364,0.994941509,17.00110439,0.651342944,2.208019298,23.30185956,28.52528502,92,34.99228424,10.92983361,41.46267506,53.72732744,34.99228424,3.989865741,4.108893963,0.17246364,3.106524785,42.84715556,0.134770203,4.481954733,0.884366775,4.011184012,6.848873662,2.35978416,2.1552374,0.342364544,8.873223595,1.882494331,1.27275233,38.90263387,1.210061951,6.420821623,254.8157773,5.048866139,0.493396324,3.089691392,0.9454341,1
13.3031544,17.42581725,0.545139096,5.666628144,3.296632692,2.162280192,1.195097333,2.406729179,2.211105991,30.29785437,11.68059773,4.567099648,0.369640572,7.004755535,92,24.41692712,21.24587678,68.21584805,0.972521386,0.943896884,0.270627018,0.330169158,0.137950922,0.17246364,0.994941509,17.00110439,0.651342944,2.208019298,23.30185956,28.52528502,92,34.99228424,10.92983361,41.46267506,53.72732744,34.99228424,3.989865741,4.108893963,0.17246364,3.106524785,42.84715556,0.134770203,4.481954733,0.884366775,4.011184012,6.848873662,2.35978416,2.1552374,0.342364544,8.873223595,1.882494331,1.27275233,38.90263387,1.210061951,6.420821623,254.8157773,5.048866139,0.493396324,3.089691392,0.9454341,1
13.3031547,17.42582027,0.54523595,5.666619761,3.29888263,2.162268598,1.195097332,2.406717919,2.211095455,44.17637126,11.68059265,4.567099648,0.369638423,7.005178565,101.23,29.15379008,22.78678027,67.96670182,0.972522309,0.944793861,0.270627669,0.36001692,0.100656506,0.184970515,1.144356436,17.00110451,0.557879165,2.208080488,22.15281748,33.26214798,101.23,39.660463,10.92982759,35.58267161,60.76941597,39.660463,3.990037529,4.109016875,0.184970515,3.145675615,37.15976929,0.147615964,4.495566023,0.886205493,4.011443318,6.915908545,2.60827896,2.328371586,0.24833947,10.87734216,1.887346939,1.27275233,26.31013685,1.176388447,11.15768458,265.3122616,5.053037877,0.493884364,2.919630273,0.939688504,1
13.3041168,17.42477455,0.545839115,5.666626509,4.022056276,2.162275508,1.142100684,2.406722339,2.211100024,43.5116183,11.68059747,4.567099648,0.369638669,7.00407184,101.23,29.15379008,17.89613076,68.21584805,0.972506285,0.94347038,0.270625564,0.494544464,0.103447644,0.167601699,1.204969103,17.00110447,0.546002082,2.208026748,17.13018417,28.87173293,101.23,34.23559931,10.92983356,23.43656112,60.76941597,34.23559931,3.988695081,4.107737162,0.167601699,3.145729159,42.84715556,0.130070535,4.497997664,0.883753869,4.009991532,6.91486151,2.29477896,1.974668392,0.258534105,10.87831808,1.992653061,1.27275233,33.23387405,1.303267539,11.15768458,265.0346158,5.067308148,0.493437456,3.815476694,0.947560506,1
13.3041163,17.42477465,0.545836129,5.666629075,4.043755236,2.162279596,0.296672759,2.406729772,2.211106036,41.73809425,11.68059832,4.567099648,0.369639079,7.004072696,126.14,19.51701739,20.16695626,68.21584805,0.970589114,0.946617697,0.226020253,0.501529341,0.312742564,0.180670681,1.255051538,17.00110557,0.790323053,2.954433193,17.13018417,32.55266696,126.14,38.8439,10.32018344,52.90291494,55.18154623,38.8439,3.988698435,4.107739602,0.180670681,3.146461364,30.61501288,0.141810718,4.477713533,0.890189383,4.010001181,6.914435634,2.614629865,2.060902083,0.419521743,12.34113193,1.982902494,1.985814432,32.73095847,1.369928567,16.44411278,264.921768,5.051241253,0.494013695,3.802677536,0.944084076,1
13.3031547,17.42582028,0.545235945,5.666619769,3.299269196,2.162268575,1.195097336,2.406717882,2.211095422,30.96260733,11.68059267,4.567099648,0.369639402,7.005179118,109.07,24.41692712,24.69460961,67.96670182,0.972427509,0.944793861,0.270627816,0.373385606,0.126816292,0.184970515,1.228095655,17.00110451,0.654391214,2.208085229,22.15281748,33.31982221,109.07,39.660463,10.92982763,60.20494121,46.91807537,39.660463,3.990038428,4.109017507,0.184970515,3.146278984,37.03583451,0.147615964,4.476620186,0.886205493,4.011445341,6.914947733,2.60827896,2.328371586,0.33216991,10.64008987,1.941269841,1.426970016,39.1517801,1.265704844,11.21535881,265.0574688,5.054082512,0.494029212,3.12474863,0.939688504,1
13.30411749,17.42477423,0.545841757,5.666628151,3.296588573,2.162280016,0.62503996,2.406729117,2.21110588,30.29785437,11.68059772,4.567099648,0.36964113,7.004070522,92,24.41692712,20.16695626,68.21584805,0.972548796,0.944823743,0.229773262,0.330169158,0.194734737,0.155656931,0.994941509,17.00110532,0.546002082,2.916242577,17.13018417,24.13486998,92,28.82060884,10.33811375,29.35446716,59.06135926,28.82060884,3.98869201,4.107734508,0.155656931,3.105643645,54.35286278,0.116119197,4.497421704,0.886511946,4.009986413,6.850487798,2.117640264,1.714633711,0.258534105,8.873253967,1.767346939,1.27275233,26.31013685,1.103908802,6.420821623,255.2274167,5.048827245,0.493326832,2.801016257,0.955575267,1
