BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,target
14.70028823,14.56571433,0.741309971,5.694935471,4.029509385,2.00736605,0.294359138,2.440842301,2.129591228,19.541084,0
14.70021668,14.56571033,0.740804013,5.655503083,4.02951083,2.00736562,0.294359916,2.401040748,2.129579753,26.65088155,0
14.70028825,14.5657123,0.741309283,5.655503083,4.029511697,2.007365113,0.29435939,2.401040748,2.129579313,26.14796597,0
14.70021668,14.56571033,0.740804013,5.655503083,4.02951083,2.00736562,0.294359916,2.401040748,2.129579753,26.65088155,0
14.7002883,14.56570782,0.741323207,5.694935588,4.029485493,2.007379073,0.294363021,2.440842764,2.129617633,19.541084,0
14.69641075,14.56899551,0.760358069,5.755660574,4.027555462,1.994744647,0.29262334,2.42740893,2.115261628,31.91024491,1
14.70213971,14.69240389,0.761020161,5.705333057,4.044004414,2.201221739,0.296674771,2.444941547,2.24982703,30.13366811,1
14.70213938,14.69240467,0.761011263,5.705332875,4.048608177,2.201221441,0.295290606,2.444941379,2.249826814,29.63075253,1
14.7021394,14.69240466,0.76102001,5.705332871,4.044009674,2.201221633,0.296667689,2.44494143,2.249826917,30.13366811,1
14.70213909,14.69240543,0.761018466,5.705332708,4.044010936,2.201221487,0.296667043,2.444941311,2.249826788,30.13366811,1
14.70213662,14.69242454,0.760664778,5.705332895,4.048608177,2.201221498,0.299089993,2.444941379,2.249826825,24.3808145,1
13.30278168,17.43070518,0.526975105,5.705332828,4.044146456,2.201221565,0.296666711,2.444941363,2.249826852,36.55448973,1
14.70213909,14.69240544,0.761018971,5.705332618,4.044029881,2.201221478,0.29665862,2.444941272,2.249826761,30.13366811,1
14.70213907,14.69240544,0.761011162,5.705332715,4.048621393,2.201221374,0.295280814,2.444941284,2.24982673,29.63075253,1
13.3041168,17.4247745,0.545847742,5.694336505,4.025133413,2.193853553,1.154287666,2.439599162,2.24373297,5.538925252,1
13.30411668,17.42477467,0.545847162,5.69433648,4.025129406,2.193853536,1.155280548,2.439599158,2.24373296,5.538925252,1
14.70680988,14.57044881,0.77927311,5.673664185,3.240169279,2.169531551,1.304253607,2.414694365,2.219117357,18.73046465,1
14.70681018,14.57046205,0.779274212,5.673664214,3.240154932,2.169531556,1.304257064,2.414694371,2.219117364,18.73046465,1
14.70681006,14.5706931,0.779273941,5.6736642,3.240265481,2.169531554,1.304254852,2.414694368,2.219117361,18.73046465,1
14.70588815,14.57045842,0.778685908,5.673664182,3.240180022,2.169531551,1.30425248,2.414694364,2.219117356,31.94422858,1
14.70588815,14.57045524,0.778685909,5.673664066,3.240190123,2.169531277,1.304249247,2.414694019,2.219117039,31.94422858,1
14.70680973,14.57044748,0.779272587,5.673664088,3.240174279,2.169531281,1.304251825,2.414694023,2.219117044,18.73046465,1
14.70681003,14.57046072,0.779273687,5.673664118,3.240159903,2.169531286,1.304255257,2.414694029,2.21911705,18.73046465,1
14.70680991,14.57069185,0.779273417,5.673664103,3.240270671,2.169531283,1.304253061,2.414694027,2.219117047,18.73046465,1
14.70588815,14.5704571,0.778685908,5.673664085,3.240185044,2.16953128,1.304250705,2.414694022,2.219117043,31.94422858,1
14.69995361,14.54320893,0.740314318,5.694099047,4.048622303,2.187201223,0.297567658,2.440069347,2.240903898,44.9941567,1
14.69995362,14.54320824,0.740315005,5.694099063,4.048621266,2.187201239,0.29756812,2.440069352,2.240903861,44.9941567,1
14.70189095,14.55678411,0.751692759,5.76531352,4.032545746,1.991248295,0.293510589,2.409746771,2.109421783,18.69056362,1
14.70189688,14.55676567,0.751725199,5.785254689,4.032450248,1.993453608,0.291190481,2.421317264,2.113154808,11.76296084,1
14.70228453,14.69309218,0.751479343,5.822883908,3.190984774,2.318972101,1.164052285,2.5639014,2.367974865,6.606881965,0
14.70224237,14.54843015,0.774928538,5.673660484,4.034246942,2.002292655,0.294961616,2.41468447,2.124198222,12.12358268,1
