MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,AATSC4s,AATSC8pe,AATSC1are,ATS8s,GATS3dv,AATSC2c,BCUTi-1h,ATSC0se,nBondsM,GATS1are,GATS8p,MINsssCH,GGI4,PEOE_VSA12,MINdssC,IC3,GATS3s,SaaCH,piPC7,JGI5,target
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,2,9.184952232,0.643755045,0.729271341,0.727721931,5.343551485,2.598833288,0.52067592,1.593169613,6.334605023,30.29785437,1.058948695,3.402064397,0.674486432,10.07780132,4157,1.195097328,3,2.032372053,147.0468425,40.82509838,0.718686658,2.010426078,210.4036422,0.363685124,0,3.689805535,1339.726,16,0.683200244,0.201926376,5.6254749,0.589351936,0,2.208037045,0.453550513,0.269204865,0.886701785,817.154321,0.980284006,0.518251228,17.42477512,0.152228582,20,0.704667136,0.805192482,0.659577999,3.386666667,11.33597012,0.338075132,5.381337572,0.764544661,7.648488628,7.397312577,0.034625772,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1,17.96578233,0.630287078,0.672907978,0.675009237,5.343551485,2.598833288,0.535852724,1.544421349,6.448353403,36.84261077,1.07969459,3.402064397,0.663244201,18.85863142,4148,1.180334978,3,1.435705386,147.2174042,47.88349668,0.691985838,2.397895273,210.0391481,0.425120338,1,4.727387819,1238.781,16,0.67203687,0.145493455,5.540300878,0.581112263,1,2.208022173,0.451633969,0.282227606,0.874739952,888.7170782,0.980574461,0.50878409,17.42835166,0.183794105,19,0.638324813,0.75277975,0.65148459,3.494444444,5.428790392,0.328921546,5.525232566,0.928993776,6.94842234,7.392705247,0.032374804,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,0.457140142,0.273699099,0.880600561,807.3559671,0.918552611,0.509382415,17.42581725,0.159078046,19,0.663757594,0.755263963,0.555850169,3.334444444,5.428790392,0.33633091,5.555535597,0.820013367,7.412932791,7.382960202,0.031702899,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,0.457140142,0.273699099,0.880600561,807.3559671,0.918552611,0.509382415,17.42581725,0.159078046,19,0.663757594,0.755263963,0.555850169,3.334444444,5.428790392,0.33633091,5.555535597,0.820013367,7.412932791,7.382960202,0.031702899,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1,13.57536728,0.644063298,0.757051052,0.726842126,5.343551485,2.598833288,0.544521516,1.558561972,6.458178061,44.17637126,1.05779922,3.402064397,0.66998142,14.46821637,4012,1.195097332,3,1.726214646,147.0689969,35.58267161,0.703049545,2.010426078,214.5480864,0.300949804,0,3.689805535,1255.811,16,0.678676516,0.181316241,5.32218016,0.658585354,0,2.208080488,0.475311318,0.276078523,0.876855004,822.1893004,0.855317277,0.487794857,17.42582027,0.17203587,19,0.685651569,0.757994683,0.654104261,3.466666667,5.428790392,0.331847622,5.37557184,0.732800461,5.631953678,7.400639667,0.032503858,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1,9.184952232,0.632672656,0.591767324,0.756013814,5.343551485,2.598833288,0.498091202,1.614074675,6.207392377,43.5116183,1.055452611,3.402064397,0.67573867,10.07780132,4186,1.142100684,3,2.064756312,146.3672032,23.43656112,0.704190498,2.010426078,212.3387331,0.317967274,0,3.689805535,1361.061,16,0.684459172,0.224010284,5.41098738,0.637171141,0,2.208026748,0.466350167,0.248475661,0.886778546,849.5781893,0.891231626,0.501205966,17.42477455,0.148488862,19,0.724648997,0.714660476,0.651978355,3.355555556,5.428790392,0.340402376,5.24301016,0.707067155,7.76230677,7.403955724,0.034047068,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1,17.60274922,0.588384374,0.71846422,0.658253227,5.343551485,2.598833288,0.594389149,1.549067647,6.500787958,41.73809425,1.073234207,3.402064397,0.777354232,10.07780132,4042,0.296672759,3,1.192649831,145.2836639,52.90291494,0.719195958,2.397895273,214.110779,0.441567964,1,4.727387819,1209.339,16,0.778489982,0.132914225,5.54938269,0.564404672,1,2.954433193,0.446378944,0.25803443,0.872630705,760.6970165,0.882473243,0.536985796,17.42477465,0.158450917,21,0.686529006,0.742951831,0.652259992,3.334444444,15.45208155,0.329871848,5.525232566,0.807506305,6.879076774,7.427199902,0.034033646,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1,13.57536728,0.648689886,0.750617031,0.689623466,5.343551485,2.598833288,0.537725584,1.531338079,6.584685946,30.96260733,1.06286856,3.402064397,0.662362838,14.46821637,3882,1.195097336,3,1.222742423,146.5005253,60.20494121,0.698580882,2.397895273,216.4005153,0.380473671,1,4.59511985,1212.811,16,0.671402617,0.124596802,5.524776208,0.621881288,1,2.208085229,0.464960095,0.265083432,0.875060122,801.0504115,0.849477736,0.520378198,17.42582028,0.170017245,20,0.65611997,0.742003908,0.648924207,3.515555556,11.33597012,0.326407729,5.52598839,0.782095575,5.351120053,7.423736341,0.033055556,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1,9.184952232,0.647672341,0.69089021,0.732576273,5.343551485,2.598833288,0.511521734,1.614677348,6.321390306,30.29785437,1.111495345,3.402064397,0.685006366,10.07780132,4148,0.62503996,3,2.168344275,145.4056195,29.35446716,0.704774615,2.010426078,213.0604616,0.353795554,0,3.689805535,1223.821,16,0.693929037,0.168104871,5.625955148,0.615385144,0,2.916242577,0.462070215,0.266068491,0.887068201,733.8621399,0.867597057,0.510823189,17.42477423,0.133770026,19,0.707742119,0.785800935,0.665511567,3.115555556,5.428790392,0.34342745,5.37557184,0.677209697,7.881575017,7.376879616,0.03270934,1
1.911485824,675.8888889,0.456563082,1.828182885,10.90292493,1,9.184952232,0.623064353,0.726190668,0.772440575,5.343551485,2.598833288,0.491792472,1.597227765,6.303177358,36.40182075,1.069369636,3.402064397,0.661577699,10.07780132,3996,1.195097326,3,2.039594275,146.4427204,35.45843355,0.723568906,2.010426078,203.0385463,0.34170723,0,3.689805535,1289.792,16,0.671160062,0.166830585,5.612726269,0.605570815,0,2.208027451,0.458298557,0.274754272,0.875471575,778.7757202,0.883502038,0.516531309,17.42477454,0.148488862,19,0.747901881,0.844397244,0.661524706,3.306666667,5.428790392,0.339536875,5.468359267,0.739298091,7.679157333,7.382493775,0.033829365,1
