MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,NsssN,PEOE_VSA3,MATS1s,ATSC3v,GATS1se,SaaN,MINaaN,AMID_h,SaasN,AATS4pe,PEOE_VSA9,GATS7c,SssNH,MATS1Z,SlogP_VSA10,ATS7Z,BCUTs-1l,naRing,MAXsssN,AATS1i,EState_VSA2,FilterItLogS,SRW05,AATS3v,MATS2pe,n5HRing,SRW07,ATS8are,nAromAtom,MATS1m,CIC2,MINssO,ATSC4s,n5Ring,BCUTp-1h,AATSC4s,AATSC8pe,AATSC1are,ATS8s,GATS3dv,AATSC2c,BCUTi-1h,ATSC0se,nBondsM,GATS1are,GATS8p,MINsssCH,GGI4,PEOE_VSA12,MINdssC,IC3,GATS3s,SaaCH,piPC7,JGI5,MATS2i,NsOH,MATS2se,SlogP_VSA5,ATSC3p,piPC3,AATSC2i,C3SP2,nC,ATS7s,ATS4i,BCUTp-1l,ATS6i,SsssN,EState_VSA10,Sp,ATSC4d,AATS4v,ATS7v,AXp-5d,AXp-7d,MID_C,nBondsA,piPC4,VR1_Dt,MATS4d,BCUTare-1l,MATS5se,AATS8i,GATS2dv,ATSC1d,piPC6,TIC5,NsssCH,GATS8v,MATS1se,SMR_VSA1,ATS6d,AATS1p,AATS4i,target
1.911485824,735,0.430071929,1.828182885,10.90292493,2,9.184952232,0.637118159,0.724942615,0.711873657,5.343551485,2.598833288,0.546862756,1.578815717,6.455440722,35.98524064,1.079960342,3.402064397,0.672710647,10.07780132,4025,1.195097339,3,1.70190909,147.4314127,40.82509838,0.727676097,2.397895273,217.2069882,0.375496409,1,4.727387819,1256.28,16,0.681394845,0.133268974,5.590415918,0.573804743,1,2.208021656,0.44932951,0.26952759,0.893263976,824.3281893,0.976411673,0.512766686,17.42477478,0.148811365,20,0.683748697,0.717852264,0.657891978,3.334444444,11.33597012,0.335791864,5.54340934,0.773742153,7.375809676,7.40623627,0.032766041,0.563242467,2,0.336617344,47.79502851,0.324174237,5.263984687,0.413845211,4,27,858.3878601,30940.18442,0.545838548,33822.43338,3.152451008,24.59666634,45.07544731,0.694526019,194.1912051,35806.95088,0.063544997,0.026914653,55.77780394,17,5.87668481,264.8807206,0.699622947,2.162281039,0.507276813,168.9807516,0.790592317,0.564504617,6.970260484,371.4084258,2,0.882664613,0.647068891,28.92940716,601,1.801200033,159.4854867,1
1.911485824,747.1111111,0.442395424,1.828182885,10.90292493,2,9.184952232,0.643755045,0.729271341,0.727721931,5.343551485,2.598833288,0.52067592,1.593169613,6.334605023,30.29785437,1.058948695,3.402064397,0.674486432,10.07780132,4157,1.195097328,3,2.032372053,147.0468425,40.82509838,0.718686658,2.010426078,210.4036422,0.363685124,0,3.689805535,1339.726,16,0.683200244,0.201926376,5.6254749,0.589351936,0,2.208037045,0.453550513,0.269204865,0.886701785,817.154321,0.980284006,0.518251228,17.42477512,0.152228582,20,0.704667136,0.805192482,0.659577999,3.386666667,11.33597012,0.338075132,5.381337572,0.764544661,7.648488628,7.397312577,0.034625772,0.603140309,2,0.333196385,48.29794409,0.33270572,5.263984687,0.439125432,4,29,877.4248971,34849.07445,0.545837262,36920.17963,3.783645495,24.59666634,48.67255629,0.699565182,186.1465916,38162.40107,0.064636461,0.027829659,59.81268511,17,5.871060893,285.2056915,0.701651136,2.162279998,0.503755851,166.5802706,0.847057734,0.557201403,6.963426476,400.8376428,2,0.944271595,0.634617496,28.92940716,642,1.786724731,159.1281938,1
1.911485824,777,0.434702437,1.828182885,10.90292493,1,17.96578233,0.630287078,0.672907978,0.675009237,5.343551485,2.598833288,0.535852724,1.544421349,6.448353403,36.84261077,1.07969459,3.402064397,0.663244201,18.85863142,4148,1.180334978,3,1.435705386,147.2174042,47.88349668,0.691985838,2.397895273,210.0391481,0.425120338,1,4.727387819,1238.781,16,0.67203687,0.145493455,5.540300878,0.581112263,1,2.208022173,0.451633969,0.282227606,0.874739952,888.7170782,0.980574461,0.50878409,17.42835166,0.183794105,19,0.638324813,0.75277975,0.65148459,3.494444444,5.428790392,0.328921546,5.525232566,0.928993776,6.94842234,7.392705247,0.032374804,0.593565937,2,0.386835191,47.79502851,0.318530804,5.237770867,0.441523704,4,27,878.7674897,30885.8679,0.536180591,33232.19394,1.435705386,28.58295925,44.20431377,0.730161852,190.7552057,35280.44435,0.064229301,0.026942946,56.11718431,17,5.862565267,264.685014,0.726733264,2.16228017,0.497311237,169.6139553,0.774362333,0.450949586,6.95678351,364.6653494,2,0.932663957,0.636248088,32.91570007,591,1.814976783,161.7061147,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,0.457140142,0.273699099,0.880600561,807.3559671,0.918552611,0.509382415,17.42581725,0.159078046,19,0.663757594,0.755263963,0.555850169,3.334444444,5.428790392,0.33633091,5.555535597,0.820013367,7.412932791,7.382960202,0.031702899,0.558669594,2,0.305097778,47.79502851,0.315972027,5.227089857,0.410848369,4,27,848.1532922,30738.79389,0.545139096,33042.05652,1.801446127,24.19254421,44.27005808,0.727135449,189.4709664,34788.71945,0.064277587,0.027181394,56.02490246,17,5.853996846,254.8157773,0.728234759,2.162280192,0.494192098,168.452515,0.813361991,0.479369299,6.949616733,366.6653494,3,0.921888748,0.636292639,28.52528502,585,1.817634092,160.9360937,1
1.911485824,693,0.449590007,1.828182885,10.90292493,1,13.57536728,0.638788405,0.701577727,0.695254291,5.343551485,2.598833288,0.50442655,1.579345604,6.38358377,30.29785437,1.095056258,3.402064397,0.66692979,14.46821637,3916,1.195097333,3,1.801446127,146.5932969,41.46267506,0.706096835,2.397895273,207.299307,0.327435327,1,4.59511985,1217.881,16,0.675802461,0.13920384,5.576657628,0.598618339,1,2.208019298,0.457140142,0.273699099,0.880600561,807.3559671,0.918552611,0.509382415,17.42581725,0.159078046,19,0.663757594,0.755263963,0.555850169,3.334444444,5.428790392,0.33633091,5.555535597,0.820013367,7.412932791,7.382960202,0.031702899,0.558669594,2,0.305097778,47.79502851,0.315972027,5.227089857,0.410848369,4,27,848.1532922,30738.79389,0.545139096,33042.05652,1.801446127,24.19254421,44.27005808,0.727135449,189.4709664,34788.71945,0.064277587,0.027181394,56.02490246,17,5.853996846,254.8157773,0.728234759,2.162280192,0.494192098,168.452515,0.813361991,0.479369299,6.949616733,366.6653494,3,0.921888748,0.636292639,28.52528502,585,1.817634092,160.9360937,1
1.911485824,775,0.495340525,1.828182885,10.90292493,1,13.57536728,0.644063298,0.757051052,0.726842126,5.343551485,2.598833288,0.544521516,1.558561972,6.458178061,44.17637126,1.05779922,3.402064397,0.66998142,14.46821637,4012,1.195097332,3,1.726214646,147.0689969,35.58267161,0.703049545,2.010426078,214.5480864,0.300949804,0,3.689805535,1255.811,16,0.678676516,0.181316241,5.32218016,0.658585354,0,2.208080488,0.475311318,0.276078523,0.876855004,822.1893004,0.855317277,0.487794857,17.42582027,0.17203587,19,0.685651569,0.757994683,0.654104261,3.466666667,5.428790392,0.331847622,5.37557184,0.732800461,5.631953678,7.400639667,0.032503858,0.561073207,2,0.272972276,41.37420689,0.331340913,5.261394012,0.412664146,4,27,857.2489712,31478.19951,0.54523595,33936.14981,1.726214646,24.19254421,44.7502976,0.661606439,192.159098,35550.86823,0.064181276,0.027099179,56.06486334,17,5.882277274,265.3122616,0.673024682,2.162268598,0.480161026,168.7912053,0.808883483,0.530744073,6.972840526,360.1633133,2,0.912817636,0.629508621,33.26214798,600,1.790093319,160.6030587,1
1.911485824,682,0.485119358,1.828182885,10.90292493,1,9.184952232,0.632672656,0.591767324,0.756013814,5.343551485,2.598833288,0.498091202,1.614074675,6.207392377,43.5116183,1.055452611,3.402064397,0.67573867,10.07780132,4186,1.142100684,3,2.064756312,146.3672032,23.43656112,0.704190498,2.010426078,212.3387331,0.317967274,0,3.689805535,1361.061,16,0.684459172,0.224010284,5.41098738,0.637171141,0,2.208026748,0.466350167,0.248475661,0.886778546,849.5781893,0.891231626,0.501205966,17.42477455,0.148488862,19,0.724648997,0.714660476,0.651978355,3.355555556,5.428790392,0.340402376,5.24301016,0.707067155,7.76230677,7.403955724,0.034047068,0.636423149,2,0.286199077,48.29794409,0.271458647,5.232444622,0.459844802,4,28,884.0961934,36017.84717,0.545839115,35879.47529,2.064756312,19.80212916,46.61459641,0.774505703,176.2484373,37978.07509,0.064624726,0.027194155,57.76486161,17,5.859717276,265.0346158,0.753989502,2.162275508,0.4927685,168.4194884,0.924191168,0.530027263,6.959398512,367.0107112,1,0.901721903,0.634338314,28.87173293,634,1.787751716,161.5150097,1
1.911485824,675.6666667,0.423090031,1.828182885,10.90292493,1,17.60274922,0.588384374,0.71846422,0.658253227,5.343551485,2.598833288,0.594389149,1.549067647,6.500787958,41.73809425,1.073234207,3.402064397,0.777354232,10.07780132,4042,0.296672759,3,1.192649831,145.2836639,52.90291494,0.719195958,2.397895273,214.110779,0.441567964,1,4.727387819,1209.339,16,0.778489982,0.132914225,5.54938269,0.564404672,1,2.954433193,0.446378944,0.25803443,0.872630705,760.6970165,0.882473243,0.536985796,17.42477465,0.158450917,21,0.686529006,0.742951831,0.652259992,3.334444444,15.45208155,0.329871848,5.525232566,0.807506305,6.879076774,7.427199902,0.034033646,0.582770514,2,0.406860036,47.79502851,0.293326969,5.279389357,0.426833637,4,26,954.1995885,30549.97585,0.545836129,32803.00255,1.192649831,28.21992614,45.23425389,0.74604022,195.3112108,35278.23691,0.063324359,0.026947404,53.88954289,17,5.901608218,264.921768,0.739145117,2.162279596,0.480069265,167.0525166,0.695472223,0.491705559,6.988643783,364.6653494,2,0.894517509,0.671973692,32.55266696,591,1.904807508,159.9475175,1
1.911485824,777,0.464243217,1.828182885,10.90292493,1,13.57536728,0.648689886,0.750617031,0.689623466,5.343551485,2.598833288,0.537725584,1.531338079,6.584685946,30.96260733,1.06286856,3.402064397,0.662362838,14.46821637,3882,1.195097336,3,1.222742423,146.5005253,60.20494121,0.698580882,2.397895273,216.4005153,0.380473671,1,4.59511985,1212.811,16,0.671402617,0.124596802,5.524776208,0.621881288,1,2.208085229,0.464960095,0.265083432,0.875060122,801.0504115,0.849477736,0.520378198,17.42582028,0.170017245,20,0.65611997,0.742003908,0.648924207,3.515555556,11.33597012,0.326407729,5.52598839,0.782095575,5.351120053,7.423736341,0.033055556,0.538746732,2,0.347021954,54.21585013,0.312999531,5.287003607,0.395497954,4,27,900.4002058,29795.13877,0.545235945,32725.12546,1.222742423,28.98708139,43.95174311,0.697924383,198.8799614,34775.4877,0.062811129,0.026648386,56.08884925,17,5.907063397,265.0574688,0.703349718,2.162268575,0.492529157,168.494322,0.679956536,0.53361749,6.993703591,359.1892453,2,0.891531566,0.632541182,33.31982221,584,1.831308878,161.0548042,1
1.911485824,616.3333333,0.47030378,1.828182885,10.90292493,1,9.184952232,0.647672341,0.69089021,0.732576273,5.343551485,2.598833288,0.511521734,1.614677348,6.321390306,30.29785437,1.111495345,3.402064397,0.685006366,10.07780132,4148,0.62503996,3,2.168344275,145.4056195,29.35446716,0.704774615,2.010426078,213.0604616,0.353795554,0,3.689805535,1223.821,16,0.693929037,0.168104871,5.625955148,0.615385144,0,2.916242577,0.462070215,0.266068491,0.887068201,733.8621399,0.867597057,0.510823189,17.42477423,0.133770026,19,0.707742119,0.785800935,0.665511567,3.115555556,5.428790392,0.34342745,5.37557184,0.677209697,7.881575017,7.376879616,0.03270934,0.571283064,2,0.316179978,41.37420689,0.266055642,5.221706264,0.419237145,4,27,821.4359854,31193.68648,0.545841757,33366.99276,2.168344275,19.80212916,46.07232934,0.686577993,189.9997989,35850.88449,0.06525969,0.027604885,55.99505552,17,5.848243504,255.2274167,0.694498779,2.162280016,0.498311571,166.811037,0.769851157,0.503402435,6.944328259,360.1633133,2,0.916225024,0.634080834,24.13486998,595,1.892817238,159.1514616,1
