MAXssNH,ATS8dv,MATS4s,MINssNH,SlogP_VSA8,target
3.559164857,121.5555556,0.456944625,3.534630992,10.90292493,1
3.57032803,119.5555556,0.461892774,3.544148921,10.90292493,1
3.561174358,167.5555556,0.446162651,3.561174358,10.90292493,1
3.56390602,153.5555556,0.44336625,3.56390602,10.90292493,1
3.566632913,142.5555556,0.448273136,3.566632913,10.90292493,1
3.5693071,135.5555556,0.45246293,3.5693071,10.90292493,1
3.885737906,344.1111111,0.481660966,3.885737906,10.90292493,1
2.744068405,95,0.365944147,2.744068405,6.514573265,1
1.911485824,304,0.544588066,1.828182885,6.514573265,0
1.911485824,62.77777778,0.432897396,1.828182885,6.514573265,0
2.612719696,704,0.416771074,2.588736623,6.514573265,1
3.472699515,159.5555556,0.433368328,3.435010886,10.90292493,1
3.482699515,155.5555556,0.44048876,3.462788663,10.90292493,1
1.911485824,65,0.411505035,1.828182885,6.514573265,1
1.911485824,523.9229698,0.387596513,1.828182885,11.16387794,1
3.473164919,89.55555556,0.460947662,3.330339328,10.90292493,1
3.494519873,91.55555556,0.472886678,3.345145583,10.90292493,1
3.510475876,91.55555556,0.481655541,3.356308756,10.90292493,1
3.067331017,328.7777778,0.436466047,2.845208589,6.514573265,0
2.840979623,145,0.355907935,2.840979623,6.514573265,1
1.911485824,138,0.378854069,1.828182885,11.16387794,1
1.911485824,252,0.412515524,1.828182885,6.514573265,0
1.911485824,345,0.40872832,1.828182885,6.514573265,1
1.911485824,345,0.40872832,1.828182885,6.514573265,0
1.911485824,252,0.412515524,1.828182885,6.514573265,0
1.911485824,375,0.352152693,1.828182885,11.16387794,1
1.911485824,68,0.507223755,1.828182885,11.16387794,0
1.911485824,231.2222222,0.407150753,1.828182885,11.16387794,0
3.469692697,77.55555556,0.4457955,3.469692697,10.90292493,0
2.37256577,506,0.480368408,2.37256577,6.514573265,1
3.230578941,1073,0.371085254,2.935697574,6.514573265,1
3.303780314,1118,0.381523087,3.039916678,6.514573265,1
2.452977718,899,0.382683917,2.242884044,6.514573265,1
1.911485824,709.6666667,0.331815324,1.828182885,11.16387794,1
3.017202145,57,0.414875342,3.017202145,6.514573265,0
1.911485824,164.3333333,0.441505747,1.828182885,10.44284065,1
3.221271642,947,0.359769118,2.813407032,6.514573265,1
3.233801497,1003,0.367789565,2.817259267,6.514573265,1
3.239494575,1059,0.374823897,2.819665856,6.514573265,0
2.803322195,1014,0.355607382,2.803322195,6.514573265,1
2.808446874,1070,0.364021256,2.808446874,6.514573265,0
2.811449387,1126,0.371363777,2.811449387,6.514573265,1
2.998220024,1539,0.429672549,2.696656578,11.25737949,0
3.008434739,1651,0.435665401,2.708940346,11.25737949,1
3.011749922,1707,0.438201601,2.712669585,11.25737949,1
3.014373937,1763,0.440487812,2.715550555,11.25737949,1
2.688947532,752.5555556,0.363161666,2.688947532,21.93632637,0
2.624245387,619.5555556,0.363287852,2.624245387,11.16387794,0
2.603593381,593.2222222,0.342035216,2.603593381,21.93632637,0
2.809866136,903.5555556,0.380198688,2.809866136,11.16387794,0
1.911485824,1517.555556,0.386100229,1.828182885,10.90292493,1
1.911485824,1538.333333,0.386641632,1.828182885,10.90292493,1
1.911485824,1670,0.379071533,1.828182885,10.90292493,1
1.911485824,251,0.408514995,1.828182885,6.514573265,0
3.059278235,1022,0.457385998,3.018729268,6.514573265,1
2.670636362,684,0.400364393,2.528135153,6.514573265,1
2.647997473,658,0.403156009,2.521398468,6.514573265,1
2.675219696,677,0.401234044,2.527625511,6.514573265,1
2.752400377,787,0.345286737,2.752400377,6.514573265,1
2.752400377,787,0.345286737,2.752400377,6.514573265,1
2.717252985,801,0.342076884,2.717252985,6.514573265,1
1.911485824,138,0.483668918,1.828182885,11.16387794,1
1.911485824,243.8888889,0.452400998,1.828182885,11.16387794,1
1.911485824,243.8888889,0.446531508,1.828182885,11.16387794,0
1.911485824,61,0.383759998,1.828182885,6.514573265,1
1.911485824,491,0.391096279,1.828182885,6.076020107,1
2.81260349,698,0.406437691,2.595737027,6.514573265,1
1.911485824,105,0.469210231,1.828182885,6.514573265,1
3.114447648,860,0.426155016,3.083020537,6.514573265,1
3.131769391,864,0.43397983,3.10635387,6.514573265,1
2.111718448,1126,0.407717687,1.465936269,11.25737949,1
1.911485824,67,0.402739171,1.828182885,6.514573265,0
3.606461235,307.3333333,0.42954948,2.823023514,21.67537336,1
1.911485824,145,0.519942232,1.828182885,6.514573265,0
1.911485824,140,0.417390554,1.828182885,10.44284065,1
1.911485824,117,0.418985063,1.828182885,11.16387794,0
1.911485824,522,0.733364899,1.828182885,11.16387794,0
2.43771353,236,0.389822582,2.435218018,6.514573265,1
2.491419246,522.6666667,0.50809341,2.491419246,27.58673769,1
3.512654143,167.6666667,0.551766978,3.493058626,10.90292493,1
1.911485824,305.4444444,0.444268119,1.828182885,11.16387794,1
1.911485824,247.2222222,0.420605105,1.828182885,6.514573265,1
1.911485824,250.4444444,0.475328821,1.828182885,11.16387794,0
