ABC,ABCGG,SpAbs_A,SpAD_A,LogEE_A,target
16.93637379,15.81476776,27.05925367,27.05925367,4.015136458,1
27.73809878,20.95673654,42.86543462,42.86543462,4.489673672,1
18.89004175,14.41141833,30.04378833,30.04378833,4.106189779,1
16.13056431,14.22451537,25.19622475,25.19622475,3.960087124,1
13.38301741,12.05205358,20.83849905,20.83849905,3.77423432,1
14.71635075,12.65426367,22.73308871,22.73308871,3.864507812,0
15.15514911,12.36812435,24.2920077,24.2920077,3.896147238,0
30.82399704,24.98079768,48.81047992,48.81047992,4.594859231,1
25.11151299,18.12830052,41.88407027,41.88407027,4.39371078,1
26.52572656,19.41912939,44.30605439,44.30605439,4.451121277,1
20.68769527,18.10073008,31.85244836,31.85244836,4.204056619,1
16.05092753,15.43967939,25.68934248,25.68934248,3.970771529,1
22.60355591,17.61574432,37.81656522,37.81656522,4.304118936,0
26.70965759,22.42114584,43.334718,43.334718,4.473616952,0
15.31406773,13.50608225,24.41636813,24.41636813,3.911393203,0
28.82961757,20.94321343,49.73505733,49.73505733,4.54192721,1
16.41044405,14.12239622,27.34612178,27.34612178,3.995356734,0
15.15514911,12.98437651,24.65700973,24.65700973,3.907326118,0
40.79966487,31.19538423,68.70860865,68.70860865,4.876086983,1
38.19001734,30.0493884,63.49796319,63.49796319,4.810196053,1
28.83556835,23.4662737,46.77498103,46.77498103,4.532046774,1
26.08802145,21.46610494,42.44090048,42.44090048,4.431389052,1
38.19001734,30.06741541,63.49272302,63.49272302,4.810197985,1
12.11827454,10.78863894,20.03843324,20.03843324,3.694167518,0
15.53284733,13.56685329,23.72793534,23.72793534,3.915466653,0
31.14446708,24.75889096,50.40746456,50.40746456,4.608859967,1
22.62013494,19.08625165,37.66593374,37.66593374,4.3135263,0
22.62013494,19.08625165,37.66593374,37.66593374,4.3135263,1
18.09296603,15.64427712,29.08656199,29.08656199,4.082955466,0
23.69585123,19.81024295,38.71726684,38.71726684,4.351938411,1
24.41328588,20.36383517,41.36194692,41.36194692,4.392979246,1
15.71082758,14.05740615,25.39762816,25.39762816,3.948130109,0
26.04627904,21.55827848,43.2095761,43.2095761,4.450195535,1
26.04627904,21.55827848,43.2095761,43.2095761,4.450195535,1
17.10846212,13.90864661,28.8479988,28.8479988,4.03057255,0
29.34521516,22.51490276,48.31538826,48.31538826,4.555612957,0
28.63810838,22.09827162,46.78678141,46.78678141,4.531367348,0
30.52907781,23.58072557,48.03813436,48.03813436,4.585723113,0
29.56399476,22.7941899,47.47475502,47.47475502,4.557746472,0
26.10934109,20.81666099,41.71925721,41.71925721,4.434135006,0
30.24259197,22.70473492,49.65396558,49.65396558,4.578953132,0
29.42609539,22.21927836,48.5047766,48.5047766,4.553028765,0
30.90925864,23.71358743,50.8598099,50.8598099,4.602188196,0
29.41416485,23.06828398,48.15679901,48.15679901,4.557957545,0
30.12127163,23.55119723,49.13478565,49.13478565,4.581576677,0
29.41416485,23.06828398,48.15679901,48.15679901,4.557957545,0
28.65003893,21.27809825,47.64990387,47.64990387,4.526305515,0
15.91178471,14.00352518,25.94548788,25.94548788,3.956196334,1
20.57939444,17.39697861,33.18319723,33.18319723,4.221994737,1
21.44367127,18.12027667,33.96251036,33.96251036,4.258060267,1
21.28650122,17.84680278,34.10542495,34.10542495,4.254894247,1
21.993608,18.25293357,35.68139936,35.68139936,4.286739627,1
21.44367127,18.12027667,33.96251036,33.96251036,4.258060267,1
23.88457743,19.65875366,37.01533536,37.01533536,4.355645462,1
22.2123876,18.52713355,34.77579462,34.77579462,4.289533559,1
22.04138825,18.64545627,35.62342617,35.62342617,4.289944493,1
27.18170613,20.50702745,44.35639905,44.35639905,4.477881107,1
27.92925302,21.44461095,45.49495383,45.49495383,4.502920966,1
